bill_id,customer_id,billing_month,amount_due,amount_paid,payment_date
BE0952F,C0001,2024-08-13,49.28,43.4,2024-08-22
BFFE45D,C0001,2024-12-25,23.61,23.61,2024-12-28
B0014C4,C0001,2025-05-08,33.36,33.36,2025-05-20
B1848C3,C0001,2025-03-25,48.96,45.23,2025-03-27
B8C40D5,C0002,2024-05-18,126.93,126.93,2024-06-02
BF4589E,C0002,2024-07-21,146.81,146.81,2024-08-10
BB903D4,C0002,2025-02-11,49.7,49.7,2025-02-16
BDC0E29,C0002,2025-05-02,29.64,29.64,2025-05-08
BA1825A,C0002,2024-08-18,93.67,93.67,2024-09-16
B699D46,C0003,2024-12-22,138.91,138.91,2024-12-25
B6FCDCE,C0003,2025-01-28,28.93,28.93,2025-02-23
B04DE35,C0003,2024-05-22,108.37,54.37,2024-05-24
B51E4F8,C0003,2025-03-22,73.02,73.02,2025-04-10
B30207B,C0003,2024-09-11,106.46,63.14,2024-10-01
B034422,C0004,2024-08-25,195.87,195.87,2024-08-28
B96DBB5,C0004,2024-06-18,75.5,75.5,2024-07-03
B635314,C0004,2024-05-17,181.08,181.08,2024-06-06
BD217FF,C0004,2024-12-04,117.94,117.94,2025-01-01
BCC3086,C0004,2025-01-19,88.66,88.66,2025-01-20
BC16501,C0005,2024-12-16,99.15,99.15,2025-01-11
BC3BDC0,C0005,2024-07-19,68.34,57.3,2024-08-09
B268527,C0005,2024-11-25,37.41,37.41,2024-12-20
B4BBF8F,C0005,2024-07-21,117.46,117.46,2024-08-08
B4BC6C5,C0005,2025-05-01,60.95,41.09,2025-05-17
B7F14F7,C0006,2024-07-01,193.81,193.81,2024-07-30
BF1D780,C0006,2024-10-07,105.47,105.47,2024-10-22
B29B2BA,C0006,2024-08-09,73.79,73.79,2024-09-05
B6549AD,C0006,2024-06-30,148.58,148.58,2024-07-28
BA32ECC,C0006,2024-12-06,113.03,113.03,2024-12-25
B6068D1,C0006,2024-05-17,46.54,46.54,2024-05-31
B1AAC13,C0007,2025-02-23,190.83,190.83,2025-03-01
B6469F7,C0007,2024-11-27,165.52,114.29,2024-12-18
BB76693,C0007,2025-03-26,98.37,98.37,2025-04-15
B7B12AF,C0007,2024-09-27,46.62,46.62,2024-10-07
B4B84B0,C0008,2024-12-04,35.66,35.66,2024-12-21
BAC529F,C0008,2024-09-07,78.7,78.7,2024-09-21
B5C9CDE,C0008,2024-09-09,185.09,150.88,2024-09-27
B9666BB,C0009,2024-09-22,40.25,30.39,2024-10-10
B6DDFAE,C0009,2025-03-18,156.51,156.51,2025-04-16
B0EF51E,C0009,2025-01-31,39.01,39.01,2025-02-25
BC6D0B5,C0009,2024-06-15,71.5,71.5,2024-06-26
BDBD7D7,C0009,2024-12-30,178.02,178.02,2025-01-19
B970630,C0009,2024-11-14,107.41,107.41,2024-11-15
B1F5DAA,C0010,2025-03-14,69.57,53.84,2025-04-05
B068BED,C0010,2024-06-15,92.31,92.31,2024-07-13
BB2A132,C0010,2024-11-15,79.67,79.67,2024-12-08
B9CDA87,C0010,2025-03-25,105.54,105.54,2025-04-05
BAAED53,C0011,2024-11-10,80.82,80.82,2024-11-19
BC7D6B9,C0011,2025-04-19,70.46,70.46,2025-05-11
BB5DDC6,C0011,2025-01-06,143.27,143.27,2025-01-13
B7610BE,C0012,2024-07-20,74.09,74.09,2024-08-13
B11B862,C0012,2024-12-27,168.65,168.65,2025-01-09
B7330E0,C0012,2024-09-19,128.9,90.07,2024-10-18
BD2BD72,C0012,2024-09-17,168.31,168.31,2024-10-11
B088FE5,C0013,2024-06-11,167.78,167.78,2024-06-16
B0C7F9D,C0013,2024-10-29,31.81,31.81,2024-11-10
B07E14C,C0013,2024-10-23,44.42,44.42,2024-11-20
B532B34,C0013,2024-10-03,122.36,122.36,2024-10-31
BA3D27C,C0013,2024-08-12,169.93,169.93,2024-08-19
BA8B88B,C0014,2025-01-09,102.16,102.16,2025-01-31
BE9FC31,C0014,2025-03-23,55.84,55.84,2025-04-06
BF227A9,C0014,2024-07-01,110.92,110.92,2024-07-04
B38A5B1,C0015,2024-12-20,63.55,63.55,2025-01-03
B8420AF,C0015,2024-08-19,51.97,51.97,2024-09-06
B048714,C0015,2025-02-05,119.24,119.24,2025-03-03
B99088A,C0016,2024-10-29,154.81,154.81,2024-11-07
B7B88AB,C0016,2025-02-23,24.94,22.05,2025-03-19
B1F8B8C,C0016,2024-11-14,193.69,193.69,2024-12-04
BC09E9D,C0016,2024-07-13,60.52,60.52,2024-08-02
B78C7CE,C0016,2024-10-02,93.71,79.76,2024-10-26
B73367F,C0017,2024-12-21,105.34,60.88,2025-01-15
BE1EC27,C0017,2024-09-14,21.52,21.52,2024-10-09
B358DB2,C0017,2024-09-20,189.74,189.74,2024-10-12
B96F539,C0018,2025-01-24,96.29,96.29,2025-02-04
B75000D,C0018,2025-03-06,102.62,102.62,2025-03-15
BF133BC,C0018,2024-07-21,141.9,141.9,2024-08-02
B800886,C0018,2024-07-06,125.21,118.92,2024-08-05
B3721C6,C0018,2024-12-12,171.79,171.79,2025-01-01
BBF860F,C0019,2024-09-02,73.73,38.98,2024-09-10
BD7C73E,C0019,2025-04-30,135.31,135.31,2025-05-08
B87E266,C0019,2024-09-29,138.1,138.1,2024-10-19
B37EA0E,C0019,2025-05-08,73.78,62.3,2025-06-05
BDF47A4,C0019,2024-11-11,30.22,30.22,2024-12-06
B993487,C0020,2024-07-07,138.9,138.9,2024-07-30
B18E51F,C0020,2025-02-25,24.58,24.58,2025-03-06
B6EACAE,C0020,2024-12-28,66.7,66.7,2025-01-09
B0A1EDB,C0020,2024-08-06,152.61,152.61,2024-08-24
B59E452,C0020,2025-03-16,166.88,166.88,2025-04-07
B352331,C0020,2024-12-18,60.03,60.03,2025-01-12
B206420,C0021,2024-10-02,183.17,183.17,2024-10-18
BB707FE,C0021,2024-12-09,74.04,74.04,2024-12-30
BC7A678,C0021,2025-01-24,177.77,177.77,2025-01-27
