usage_id,customer_id,call_minutes,data_usage_gb,sms_count,usage_date
U5ECD1C,C0001,109.14,56.86,222,2024-07-04
UFEE017,C0001,404.42,63.3,45,2025-03-05
UD8527B,C0001,474.75,17.26,71,2024-10-07
U09C31F,C0001,177.33,8.78,72,2025-03-05
U0C39EB,C0001,411.9,50.96,26,2025-04-07
U1DB7DF,C0002,422.92,28.24,83,2025-03-19
U4198D5,C0002,53.97,64.22,89,2024-08-16
U14907B,C0002,491.1,76.55,127,2024-12-13
UAE0B09,C0002,434.13,43.75,27,2024-05-15
U903AD4,C0003,281.16,77.88,6,2025-03-19
UC30D61,C0003,272.28,55.46,219,2025-03-08
U6EDC57,C0003,441.47,6.79,85,2024-10-08
U2722CF,C0003,388.17,40.42,154,2024-10-15
U776B2F,C0003,159.23,70.44,30,2024-05-15
U241F34,C0004,490.97,54.67,237,2024-08-12
U682732,C0004,462.07,10.59,51,2024-06-02
U9701F9,C0004,75.43,9.01,207,2025-02-04
UC24E32,C0004,263.1,0.56,271,2024-11-16
U1CC415,C0004,450.99,77.18,232,2024-09-17
U2B4217,C0004,499.63,72.07,119,2024-07-01
UF635A8,C0005,73.06,27.04,214,2025-04-10
U73BF69,C0005,247.16,66.34,231,2024-08-07
UEAB71D,C0005,66.13,1.49,3,2025-01-24
UCCECF8,C0005,468.64,42.96,269,2025-02-05
U5AB9C7,C0005,325.94,22.29,157,2024-08-27
UB0AA90,C0006,152.5,70.97,179,2024-07-10
UEB1044,C0006,438.68,67.27,218,2024-11-07
U8E1DE6,C0006,279.14,27.19,238,2024-11-12
UC69BC6,C0007,488.73,27.75,162,2025-03-11
UD5C762,C0007,235.09,74.07,275,2024-11-03
U95DA2F,C0007,295.64,45.79,251,2025-01-31
UB6A98E,C0007,361.55,64.99,113,2024-08-10
U038526,C0007,343.45,46.02,45,2024-07-30
U38D4C2,C0008,316.98,31.17,114,2024-11-10
U5C8431,C0008,365.32,77.95,127,2024-12-14
UFDA138,C0008,331.73,59.3,15,2024-07-03
UB935A5,C0008,58.93,54.27,8,2024-07-04
UA06631,C0008,442.1,28.56,31,2024-08-13
U14CD49,C0008,342.65,63.78,39,2025-03-16
U9CA1F6,C0009,325.63,61.53,194,2024-06-26
UAF095C,C0009,366.91,50.68,113,2024-09-12
U5F3BF2,C0009,79.01,5.11,157,2024-06-09
